date,pm25,pm10,o3,no2,so2,co
01-06-2023,147,102,36,11,7,7
02-06-2023,147,93,38,10,4,5
03-06-2023,145,79,44,9,7,5
04-06-2023,131,68,30,9,4,5
05-06-2023,115,73,44,12,6,7
06-06-2023,147,86,15,12,5,7
07-06-2023,147, , , , , 
01-05-2023,102,65,23,12,5,5
02-05-2023,106,73,19,11,3,5
03-05-2023,103,75,23,12,4,7
04-05-2023,118,93,31,11,3,5
05-05-2023,152,95,41,11,4,5
06-05-2023,158,105,43,13,6,5
07-05-2023,159,119,46,17,8,5
08-05-2023,164,110,40,14,5,4
09-05-2023,164,84,43,12,4,5
10-05-2023,151,103,54,11,4,5
11-05-2023,158,92,44,10,4,4
12-05-2023,160,101,28,12,2,5
13-05-2023,149,100,41,12,3,5
14-05-2023,160,90,28,10,4,4
15-05-2023,120,75,28,11,3,6
16-05-2023,120,78,43,10,3,5
17-05-2023,128,75,14,11,4,5
18-05-2023,117,69,30,11,3,5
19-05-2023,116, , , , , 
22-05-2023,128,77,19,12,2,6
23-05-2023,125,71,20,11,2,5
24-05-2023,124,83,30,12,2,5
25-05-2023,144,61,21,10,3,7
26-05-2023,104,63,11,9,4,6
27-05-2023,117,90,15,9,3,6
28-05-2023,151,81,27,9,3,4
29-05-2023,136,84,34,10,2,6
30-05-2023,126,81,32,9,3,5
31-05-2023,121,95,34,11,7,6
03-04-2023,115,82,36,15,6,5
04-04-2023,144,72,29,14,3,5
05-04-2023,123,93,41,16,8,6
06-04-2023,154,96,39,16,9,7
07-04-2023,155,115,38,16,8,6
08-04-2023,157,102,41,16,11,8
09-04-2023,160,112,38,16,7,6
10-04-2023,167,101,44,18,9,9
11-04-2023,164,106,47,17,11,5
12-04-2023,167,106,41,18,13,6
13-04-2023,167,106,55,17,12,7
14-04-2023,164,110,42,17,8,6
15-04-2023,165,123,53,18,12,6
16-04-2023,177,116,51,15,10,7
17-04-2023,167,111,48,14,5,7
18-04-2023,163,119,18,18,4,3
19-04-2023,162,111,45,13,5,3
20-04-2023,164,82,34,13,6,5
21-04-2023,137,77,43,13,8,6
22-04-2023,134,59,33,13,6,4
23-04-2023,99,59,29,13,3,4
24-04-2023,109,76,35,12,2,5
25-04-2023,128,79,38,12,3,5
26-04-2023,130,92,36,12,3,6
27-04-2023,156,112,36,12,5,5
28-04-2023,142,88,37,14,7,5
29-04-2023,157,83,36,11,5,4
30-04-2023,151,62,17,11,4,4
02-01-2023,240,191,30,14,4,6
03-01-2023,216,157,31,12,3,6
04-01-2023,191,160,30,12,3,6
05-01-2023,189,139,27,12,3,5
06-01-2023,182,147,30,12,3,5
07-01-2023,191,150,35,13,3,5
08-01-2023,191,139,28,14,3,6
09-01-2023,187,205,47,19,9,10
10-01-2023,222,173,34,17,6,6
11-01-2023,202,162,33,19,8,10
12-01-2023,178,220,35,24,14,12
13-01-2023,212,195,32,21,8,9
14-01-2023,202,164,29,18,6,6
15-01-2023,185,147,28,17,5,8
16-01-2023,175,161,31,19,6,6
17-01-2023,174,179,36,19,5,7
18-01-2023,185,183,37,19,6,7
19-01-2023,190,215,43,21,7,12
20-01-2023,212,262,31,25,8,9
21-01-2023,226,264,37,20,7,9
22-01-2023,224,271,37,22,9,9
23-01-2023,222,225,35,18,8,6
24-01-2023,208,250,32,21,8,8
25-01-2023,213,168,33,16,4,5
26-01-2023,186,113,30,15,6,5
27-01-2023,157,115,27,14,4,5
28-01-2023,160,104,35,15,4,5
29-01-2023,155,135,32,20,8,8
30-01-2023,166,119,34,16,4,4
31-01-2023,164,87,31,13,5,4
01-02-2023,138,92,29,13,3,5
02-02-2023,146,104,36,15,3,5
03-02-2023,146,121,38,18,9,5
04-02-2023,155,98,34,16,6,5
05-02-2023,145,128,36,20,10,10
06-02-2023,149,153,33,22,12,10
07-02-2023,167,129,36,18,8,5
08-02-2023,173,114,41,18,9,7
09-02-2023,156,127,49,20,10,7
10-02-2023,164,165,54,22,13,9
11-02-2023,178,128,35,16,8,6
12-02-2023,163,99,41,14,6,5
13-02-2023,153,110,45,17,9,6
14-02-2023,151,139,48,19,9,7
15-02-2023,162,138,51,20,13,6
16-02-2023,170,175,52,21,10,7
17-02-2023,181,198,21,20,9,6
18-02-2023,189,198,21,19,7,7
